epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,mae_train,mae_val,mae_test,pred,true,modelo,k,target_date
400,2,2,400,400,666.9497680664062,268.3578186035156,512.8244018554688,21.97183609008789,11.131524085998535,20.62779426574707,27.858732223510742,35.327911376953125,GCN,61,2024-05-04
500,2,2,500,500,660.3440551757812,258.9549255371094,511.61077880859375,22.065196990966797,11.131525993347168,20.08624267578125,30.205455780029297,35.327911376953125,GCN,61,2024-05-04
1000,2,2,707,767,660.2892456054688,258.6212463378906,512.093505859375,22.09239959716797,11.131525993347168,20.032255172729492,30.43939971923828,35.327911376953125,GCN,61,2024-05-04
100,6,2,100,100,1277.032470703125,904.9655151367188,1071.775146484375,27.11803436279297,25.430288314819336,26.10624885559082,5.6052141189575195,35.327911376953125,GCN,61,2024-05-04
200,6,2,200,200,855.6103515625,470.6005554199219,675.302734375,23.178363800048828,17.69595718383789,23.257387161254883,16.463796615600586,35.327911376953125,GCN,61,2024-05-04
400,6,2,400,400,660.292236328125,258.6900329589844,511.9698791503906,22.085987091064453,11.131524085998535,20.04498291015625,30.384244918823242,35.327911376953125,GCN,61,2024-05-04
500,6,2,491,500,660.2891845703125,258.6210632324219,512.0938720703125,22.092416763305664,11.131524085998535,20.03221893310547,30.439558029174805,35.327911376953125,GCN,61,2024-05-04
1000,6,2,491,551,660.2891845703125,258.6210632324219,512.0938720703125,22.092416763305664,11.131524085998535,20.03221893310547,30.439558029174805,35.327911376953125,GCN,61,2024-05-04
100,12,2,100,100,1085.119140625,708.0184936523438,889.564453125,25.46392059326172,22.119733810424805,24.788698196411133,9.828131675720215,35.327911376953125,GCN,61,2024-05-04
200,12,2,200,200,672.4442749023438,274.9317932128906,516.2381591796875,21.992897033691406,11.131523132324219,20.836780548095703,26.95311737060547,35.327911376953125,GCN,61,2024-05-04
400,12,2,290,350,660.2896728515625,258.5975036621094,512.1404418945312,22.094758987426758,11.131524085998535,20.027576446533203,30.459672927856445,35.327911376953125,GCN,61,2024-05-04
500,12,2,290,350,660.2896728515625,258.5975036621094,512.1404418945312,22.094758987426758,11.131524085998535,20.027576446533203,30.459672927856445,35.327911376953125,GCN,61,2024-05-04
1000,12,2,290,350,660.2896728515625,258.5975036621094,512.1404418945312,22.094758987426758,11.131524085998535,20.027576446533203,30.459672927856445,35.327911376953125,GCN,61,2024-05-04
100,24,2,100,100,956.804931640625,575.6615600585938,769.043701171875,24.28074836730957,19.858551025390625,24.005979537963867,13.219901084899902,35.327911376953125,GCN,61,2024-05-04
200,24,2,200,200,660.2892456054688,258.62017822265625,512.0955810546875,22.092506408691406,11.131523132324219,20.032047271728516,30.44029426574707,35.327911376953125,GCN,61,2024-05-04
400,24,2,215,275,660.3087768554688,258.473876953125,512.4349365234375,22.10869026184082,11.131524085998535,19.999927520751953,30.579483032226562,35.327911376953125,GCN,61,2024-05-04
500,24,2,215,275,660.3087768554688,258.473876953125,512.4349365234375,22.10869026184082,11.131524085998535,19.999927520751953,30.579483032226562,35.327911376953125,GCN,61,2024-05-04
1000,24,2,215,275,660.3087768554688,258.473876953125,512.4349365234375,22.10869026184082,11.131524085998535,19.999927520751953,30.579483032226562,35.327911376953125,GCN,61,2024-05-04
100,2,4,100,100,1592.87451171875,1227.6060791015625,1374.5106201171875,30.53825569152832,31.134225845336914,29.389400482177734,-0.09872554987668991,35.327911376953125,GCN,61,2024-05-04
200,2,4,200,200,1586.7894287109375,1221.40234375,1368.6551513671875,30.4384708404541,31.034439086914062,29.28961181640625,0.0010642489651218057,35.327911376953125,GCN,61,2024-05-04
400,2,4,400,400,1574.7069091796875,1209.0823974609375,1357.0303955078125,30.23933982849121,30.835311889648438,29.090484619140625,0.2001902461051941,35.327911376953125,GCN,61,2024-05-04
500,2,4,500,500,1568.7086181640625,1202.9654541015625,1351.260009765625,30.139995574951172,30.735963821411133,28.991138458251953,0.2995365262031555,35.327911376953125,GCN,61,2024-05-04
1000,2,4,1000,1000,1539.129150390625,1172.7962646484375,1322.8175048828125,29.68462371826172,30.2412052154541,28.496376037597656,0.7942983508110046,35.327911376953125,GCN,61,2024-05-04
100,6,4,100,100,1574.495849609375,1208.8668212890625,1356.8270263671875,30.2358455657959,30.831817626953125,29.086994171142578,0.20368561148643494,35.327911376953125,GCN,61,2024-05-04
200,6,4,200,200,1568.4713134765625,1202.7235107421875,1351.0318603515625,30.136056900024414,30.732027053833008,28.987201690673828,0.30347326397895813,35.327911376953125,GCN,61,2024-05-04
400,6,4,400,400,1556.5096435546875,1190.524658203125,1339.52783203125,29.941598892211914,30.532913208007812,28.7880859375,0.5025904178619385,35.327911376953125,GCN,61,2024-05-04
500,6,4,500,500,1550.57177734375,1184.46826171875,1333.8182373046875,29.848730087280273,30.43357276916504,28.68874740600586,0.6019302010536194,35.327911376953125,GCN,61,2024-05-04
1000,6,4,1000,1000,1521.2945556640625,1154.6014404296875,1305.677734375,29.44538116455078,29.93886375427246,28.212068557739258,1.0966393947601318,35.327911376953125,GCN,61,2024-05-04
100,12,4,100,100,1457.7371826171875,1089.7283935546875,1244.6563720703125,28.802385330200195,28.8350887298584,27.436431884765625,2.2004125118255615,35.327911376953125,GCN,61,2024-05-04
200,12,4,179,200,660.513671875,258.2808532714844,513.406982421875,22.147510528564453,11.131523132324219,19.922883987426758,30.91334342956543,35.327911376953125,GCN,61,2024-05-04
